country,ses2,score,rank,year,survey
Albania,2.0,192.80179999999615,2.0,2000,PISA
Albania,2.0,203.06969999999401,3.0,2000,PISA
Albania,2.0,213.5835999999961,4.0,2000,PISA
Albania,2.0,221.5189999999937,5.0,2000,PISA
Albania,2.0,231.87819999999482,6.0,2000,PISA
Albania,2.0,239.3569999999968,7.0,2000,PISA
Albania,2.0,247.34999999999854,8.0,2000,PISA
Albania,2.0,253.33269999999715,9.0,2000,PISA
Albania,2.0,259.580999999994,10.0,2000,PISA
Albania,2.0,265.981599999996,11.0,2000,PISA
Albania,2.0,269.95999999999185,12.0,2000,PISA
Albania,2.0,275.4219999999955,13.0,2000,PISA
Albania,2.0,280.0855999999965,14.0,2000,PISA
Albania,2.0,284.65999999998894,15.0,2000,PISA
Albania,2.0,291.2451999999886,16.0,2000,PISA
Albania,2.0,296.09469999998663,17.0,2000,PISA
Albania,2.0,300.7957999999926,18.0,2000,PISA
Albania,2.0,305.2399999999907,19.0,2000,PISA
Albania,2.0,309.4459999999963,20.0,2000,PISA
Albania,2.0,313.6995999999989,21.0,2000,PISA
Albania,2.0,316.0875999999934,22.0,2000,PISA
Albania,2.0,318.8557999999907,23.0,2000,PISA
Albania,2.0,322.02999999999884,24.0,2000,PISA
Albania,2.0,325.10999999998603,25.0,2000,PISA
Albania,2.0,326.94259999999576,26.0,2000,PISA
Albania,2.0,329.15999999998894,27.0,2000,PISA
Albania,2.0,331.50279999999736,28.0,2000,PISA
Albania,2.0,336.06419999998906,29.0,2000,PISA
Albania,2.0,339.4309999999896,30.0,2000,PISA
Albania,2.0,341.8727999999949,31.0,2000,PISA
Albania,2.0,345.04559999999356,32.0,2000,PISA
Albania,2.0,348.2449999999907,33.0,2000,PISA
Albania,2.0,350.2665999999896,34.0,2000,PISA
Albania,2.0,351.90999999998894,35.0,2000,PISA
Albania,2.0,354.32239999999643,36.0,2000,PISA
Albania,2.0,358.4536999999905,37.0,2000,PISA
Albania,2.0,360.29319999999626,38.0,2000,PISA
Albania,2.0,364.10129999999526,39.0,2000,PISA
Albania,2.0,365.7619999999937,40.0,2000,PISA
Albania,2.0,368.30189999998873,41.0,2000,PISA
Albania,2.0,370.20919999999546,42.0,2000,PISA
Albania,2.0,372.6193999999891,43.0,2000,PISA
Albania,2.0,375.53479999999223,44.0,2000,PISA
Albania,2.0,379.0339999999902,45.0,2000,PISA
Albania,2.0,383.29299999999347,46.0,2000,PISA
Albania,2.0,385.77319999998826,47.0,2000,PISA
Albania,2.0,388.5103999999899,48.0,2000,PISA
Albania,2.0,391.537899999994,49.0,2000,PISA
Albania,2.0,394.17499999999563,50.0,2000,PISA
Albania,2.0,396.4430999999894,51.0,2000,PISA
Albania,2.0,399.70999999999185,52.0,2000,PISA
Albania,2.0,401.7993999999935,53.0,2000,PISA
Albania,2.0,404.1437999999951,54.0,2000,PISA
Albania,2.0,407.6299999999901,55.0,2000,PISA
Albania,2.0,409.19799999999236,56.0,2000,PISA
Albania,2.0,411.3299999999872,57.0,2000,PISA
Albania,2.0,415.0453999999887,58.0,2000,PISA
Albania,2.0,417.76589999998816,59.0,2000,PISA
